Bank,Tweet Number,Tweet Date,Week,Quarter,gcp_score,Google Trend,Competitor1,Competitor2,Competitor3,Competitor4,ROA,ROS,Operating Income to Sales,Opearting Income to Assets,Operating Expenses to Sales,Cost of Goods to Sales,"Selling, General and Administrative Expenses to Sales"
Scotia,122,8/31/2012,44,4,0.200000003,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,123,9/4/2012,45,4,0.400000006,95,84,86,95,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,124,9/4/2012,45,4,0,95,84,86,95,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,125,9/5/2012,45,4,-0.600000024,95,84,86,95,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,126,9/5/2012,45,4,-0.5,95,84,86,95,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,127,9/5/2012,45,4,0,95,84,86,95,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,128,9/5/2012,45,4,0.400000006,95,84,86,95,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,129,9/7/2012,45,4,0.5,95,84,86,95,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,130,9/7/2012,45,4,0.899999976,95,84,86,95,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,131,9/11/2012,46,4,0.100000001,89,82,81,93,86,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,132,9/11/2012,46,4,-0.200000003,89,82,81,93,86,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,133,9/14/2012,46,4,-0.699999988,89,82,81,93,86,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,134,9/19/2012,47,4,0.5,86,82,77,89,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
