Bank,Tweet Number,Tweet Date,Week,Quarter,gcp_score,Google Trend,Competitor1,Competitor2,Competitor3,Competitor4,ROA,ROS,Operating Income to Sales,Opearting Income to Assets,Operating Expenses to Sales,Cost of Goods to Sales,"Selling, General and Administrative Expenses to Sales"
RBC,65,12/14/2011,7,1,-0.100000001,82,77,79,93,87,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,66,12/14/2011,7,1,0,82,77,79,93,87,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,67,12/15/2011,7,1,0.5,82,77,79,93,87,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,68,12/15/2011,7,1,0.800000012,82,77,79,93,87,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,69,12/16/2011,7,1,0.899999976,82,77,79,93,87,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,70,12/16/2011,7,1,0.400000006,82,77,79,93,87,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,71,12/17/2011,7,1,0.800000012,82,77,79,93,87,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,72,12/18/2011,7,1,0.899999976,82,77,79,93,87,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,73,12/18/2011,7,1,-0.600000024,82,77,79,93,87,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,74,12/19/2011,8,1,0.5,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,75,12/19/2011,8,1,0.100000001,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,76,12/19/2011,8,1,-0.400000006,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,77,12/20/2011,8,1,0.600000024,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,78,12/20/2011,8,1,-0.400000006,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,79,12/20/2011,8,1,-0.300000012,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,80,12/20/2011,8,1,-0.699999988,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,81,12/20/2011,8,1,0.800000012,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,82,12/20/2011,8,1,-0.400000006,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,83,12/20/2011,8,1,-0.800000012,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,84,12/21/2011,8,1,-0.100000001,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,85,12/23/2011,8,1,-0.300000012,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
RBC,86,12/23/2011,8,1,-0.600000024,83,81,84,97,95,0.002245355,0.188039457,0.247636663,0.002956997,0.661837238,0.284628031,0.377209207
